customer_id,name,age,mobile,account_type,balance,interest_rate,credit_score,city
C033,Suresh Prabhu,23,9743416848,Current,332197.00,4.0,721,Hyderabad
C034,Pooja Hegde,47,9815356901,Savings,434815.00,4.0,652,Ahmedabad
C035,Rajesh Khanna,59,9387612444,Savings,324806.00,4.0,746,Chennai
C036,Swati Kulkarni,42,9531027394,Current,129432.00,4.0,756,Kolkata
C037,Aditya Bose,38,9931682383,Savings,157475.00,4.0,712,Pune
C038,Kavita Menon,27,9748802860,Savings,124092.00,4.0,817,Jaipur
C039,Vijay Chauhan,25,9500361665,Savings,110673.00,4.0,666,Lucknow
C040,Rahul Sharma,52,9694335449,Current,277027.00,4.0,786,Mumbai
C041,Amit Patel,34,9251807976,Savings,310491.00,4.0,635,Delhi
C042,Neha Gupta,48,9933297910,Current,299421.00,4.0,842,Bangalore
C043,Priya Singh,48,9140717913,Savings,348096.00,4.0,727,Hyderabad
C044,Sanjay Kumar,59,9345603113,Current,200351.00,4.0,752,Ahmedabad
C045,Anjali Verma,45,9207895817,Current,283710.00,4.0,839,Chennai
C046,Vikram Reddy,35,9267812411,Savings,263236.00,4.0,845,Kolkata
C047,Deepak Rao,49,9881603588,Savings,350591.00,4.0,835,Pune
C048,Sunita Nair,42,9478329909,Current,76442.00,4.0,712,Jaipur
C049,Rohan Das,30,9166544441,Savings,513400.00,4.0,789,Lucknow
C050,Kiran Joshi,51,9244801719,Savings,440646.00,4.0,827,Mumbai
C051,Meera Iyer,33,9357980022,Savings,85608.00,4.0,660,Delhi
C052,Arun Malhotra,32,9689353090,Savings,340304.00,4.0,673,Bangalore
C053,Suresh Prabhu,57,9794090261,Savings,435534.00,4.0,742,Hyderabad
C054,Pooja Hegde,53,9758937816,Current,75586.00,4.0,820,Ahmedabad
C055,Rajesh Khanna,60,9712728130,Savings,548459.00,4.0,846,Chennai
C056,Swati Kulkarni,42,9428780350,Savings,182055.00,4.0,794,Kolkata
C057,Aditya Bose,50,9544726337,Savings,102286.00,4.0,739,Pune
C058,Kavita Menon,25,9204748923,Savings,306414.00,4.0,758,Jaipur
C059,Vijay Chauhan,58,9220593699,Savings,164250.00,4.0,798,Lucknow
C060,Rahul Sharma,56,9592796847,Savings,522245.00,4.0,680,Mumbai
C061,Amit Patel,25,9187166408,Savings,215818.00,4.0,629,Delhi
C062,Neha Gupta,48,9775038144,Savings,462019.00,4.0,608,Bangalore
C063,Priya Singh,34,9126328703,Savings,310578.00,4.0,659,Hyderabad
C064,Sanjay Kumar,31,9754736881,Savings,233925.00,4.0,848,Ahmedabad
C065,Anjali Verma,30,9447085230,Savings,490466.00,4.0,791,Chennai
C066,Vikram Reddy,26,9589852583,Current,418030.00,4.0,614,Kolkata
C067,Deepak Rao,32,9847955298,Savings,124085.00,4.0,831,Pune
C068,Sunita Nair,35,9856998791,Savings,534771.00,4.0,729,Jaipur
C069,Rohan Das,38,9706415950,Savings,361609.00,4.0,680,Lucknow
C070,Kiran Joshi,37,9353909744,Current,543893.00,4.0,606,Mumbai
C071,Meera Iyer,53,9948384461,Savings,369311.00,4.0,726,Delhi
C072,Arun Malhotra,37,9236763372,Savings,227336.00,4.0,702,Bangalore
C073,Suresh Prabhu,59,9278758217,Savings,382510.00,4.0,767,Hyderabad
C074,Pooja Hegde,51,9851700191,Savings,225389.00,4.0,668,Ahmedabad
C075,Rajesh Khanna,58,9932940208,Savings,387693.00,4.0,753,Chennai
C076,Swati Kulkarni,28,9668726371,Current,420424.00,4.0,618,Kolkata
C077,Aditya Bose,41,9455988767,Savings,520943.00,4.0,844,Pune
C078,Kavita Menon,30,9540696321,Savings,143439.00,4.0,784,Jaipur
C079,Vijay Chauhan,46,9958576744,Current,60335.00,4.0,760,Lucknow
C080,Rahul Sharma,45,9174219182,Current,84564.00,4.0,789,Mumbai
C081,Amit Patel,48,9423019799,Savings,66656.00,4.0,778,Delhi
C082,Neha Gupta,44,9563545806,Current,389783.00,4.0,630,Bangalore
C083,Priya Singh,23,9274016449,Savings,538100.00,4.0,695,Hyderabad
C084,Sanjay Kumar,26,9901703335,Current,127926.00,4.0,842,Ahmedabad
C085,Anjali Verma,29,9399914186,Savings,328746.00,4.0,763,Chennai
C086,Vikram Reddy,52,9600952713,Savings,427209.00,4.0,836,Kolkata
C087,Deepak Rao,46,9952625648,Savings,524365.00,4.0,610,Pune
C088,Sunita Nair,28,9941080472,Savings,115515.00,4.0,752,Jaipur
C089,Rohan Das,25,9545720485,Savings,242622.00,4.0,663,Lucknow
C090,Kiran Joshi,35,9333574826,Current,129809.00,4.0,768,Mumbai
C091,Meera Iyer,33,9921593365,Current,301308.00,4.0,796,Delhi
C092,Arun Malhotra,28,9491317432,Savings,302183.00,4.0,653,Bangalore
C093,Suresh Prabhu,29,9268719920,Current,362664.00,4.0,843,Hyderabad
C094,Pooja Hegde,33,9152850445,Savings,454311.00,4.0,695,Ahmedabad
C095,Rajesh Khanna,56,9163052018,Savings,360784.00,4.0,747,Chennai
C096,Swati Kulkarni,33,9730490326,Savings,118837.00,4.0,604,Kolkata
C097,Aditya Bose,61,9828293285,Savings,53470.00,4.0,609,Pune
C098,Kavita Menon,33,9579630721,Savings,60122.00,4.0,847,Jaipur
C099,Vijay Chauhan,52,9237225335,Current,326773.00,4.0,741,Lucknow
C100,Rahul Sharma,24,9545609212,Current,422865.00,4.0,707,Mumbai
